iso_o,iso_d,xtr2001
FRA,GRC,1927.126884
FRA,HUN,1525.748177
FRA,IDN,435.226233
FRA,IND,862.309723
FRA,IRL,2354.331468
FRA,ITA,22670.4635
FRA,JPN,5851.893475
FRA,KOR,2100.981102
FRA,MEX,1532.847518
FRA,MYS,1105.292944
FRA,NOR,1631.199588
FRA,NZL,254.319664
FRA,PHL,442.719458
FRA,POL,3303.70179
FRA,PRT,3630.756527
FRA,SGP,2065.490075
FRA,SWE,4152.084494
FRA,THA,901.773991
FRA,TUR,2182.438314
FRA,TWN,1583.373413
FRA,USA,28367.14436
GBR,ARG,406.546554
GBR,AUS,3223.163828
GBR,AUT,1681.31287
GBR,BEL,12552.02279
GBR,BRA,1209.989722
GBR,CAN,4549.871093
GBR,CHE,4991.176187
GBR,CHL,193.078003
GBR,CHN,3353.354695
GBR,DEU,28882.29025
GBR,DNK,3156.078169
GBR,ESP,10765.59274
GBR,FIN,1989.351496
GBR,FRA,22619.3177
GBR,GBR,487088.9063
GBR,GRC,1524.105252
GBR,HUN,976.956921
GBR,IDN,641.687863
GBR,IND,2719.162858
GBR,IRL,18326.10191
GBR,ITA,11139.63389
GBR,JPN,5682.132993
GBR,KOR,2328.334061
GBR,MEX,1316.211363
GBR,MYS,1747.7368
GBR,NOR,2367.50673
GBR,NZL,502.476142
GBR,PHL,550.726192
GBR,POL,2018.191418
GBR,PRT,1852.8568
GBR,SGP,2348.214132
GBR,SWE,4909.909433
GBR,THA,948.367687
GBR,TUR,1831.329397
GBR,TWN,1547.72522
GBR,USA,36138.4879
GRC,ARG,8.534704
GRC,AUS,44.287562
GRC,AUT,102.045046
GRC,BEL,278.771318
GRC,BRA,21.054471
GRC,CAN,66.700074
GRC,CHE,102.687107
GRC,CHL,6.841383
GRC,CHN,37.395502
GRC,DEU,1124.476373
GRC,DNK,86.7274
GRC,ESP,237.525426
GRC,FIN,65.815639
GRC,FRA,340.736457
GRC,GBR,732.170723
GRC,GRC,41648.44141
GRC,HUN,42.07483
GRC,IDN,22.247347
GRC,IND,46.187225
GRC,IRL,39.591927
GRC,ITA,742.246817
GRC,JPN,65.779866
GRC,KOR,34.709659
GRC,MEX,22.494904
GRC,MYS,9.67901
GRC,NOR,45.202109
GRC,NZL,4.808512
GRC,PHL,3.35959
GRC,POL,80.875473
GRC,PRT,60.717763
GRC,SGP,16.977596
GRC,SWE,93.18012
GRC,THA,19.12747
GRC,TUR,232.267889
GRC,TWN,20.51563644
GRC,USA,459.393142
HUN,ARG,22.510143
HUN,AUS,50.613811
HUN,AUT,1976.059301
HUN,BEL,1397.144516
HUN,BRA,99.340698
HUN,CAN,106.868201
HUN,CHE,350.976683
HUN,CHL,8.760813
HUN,CHN,160.676296
HUN,DEU,10285.88014
HUN,DNK,162.654009
HUN,ESP,670.463824
HUN,FIN,175.373334
HUN,FRA,1720.384693
HUN,GBR,1299.618593
HUN,GRC,105.833394
HUN,HUN,26760.90234
HUN,IDN,8.710592
HUN,IND,27.67223
HUN,IRL,370.004668
HUN,ITA,1617.870362
HUN,JPN,312.221911
HUN,KOR,75.890622
HUN,MEX,107.435131
HUN,MYS,56.864568
HUN,NOR,105.276598
HUN,NZL,8.416429
HUN,PHL,56.032927
HUN,POL,739.334
HUN,PRT,194.237704
HUN,SGP,165.066689
HUN,SWE,286.280887
HUN,THA,22.181953
HUN,TUR,187.256551
HUN,TWN,78.17729187
HUN,USA,2964.516526
IDN,ARG,94.319338
IDN,AUS,976.194514
IDN,AUT,146.135872
IDN,BEL,813.934936
IDN,BRA,183.074109
IDN,CAN,524.742882
IDN,CHE,129.784963
IDN,CHL,56.522586
IDN,CHN,2901.34933
IDN,DEU,1828.394681
IDN,DNK,148.045943
IDN,ESP,825.214331
IDN,FIN,80.949528
IDN,FRA,1072.924972
IDN,GBR,1728.773901
IDN,GRC,106.2706
IDN,HUN,114.53129
IDN,IDN,92651.46094
IDN,IND,394.774223
IDN,IRL,102.298125
IDN,ITA,739.090306
IDN,JPN,5894.775234
IDN,KOR,1327.685425
IDN,MEX,421.08596
IDN,MYS,1861.722966
IDN,NOR,88.238367
IDN,NZL,140.432361
IDN,PHL,542.734174
IDN,POL,148.567907
IDN,PRT,89.262849
IDN,SGP,4124.432194
IDN,SWE,76.790647
IDN,THA,1019.277463
IDN,TUR,135.262272
IDN,TWN,1153.953979
IDN,USA,9433.358936
IND,ARG,140.729531
IND,AUS,351.575961
IND,AUT,177.10812
IND,BEL,1438.058797
IND,BRA,281.779816
IND,CAN,672.266026
IND,CHE,401.945789
IND,CHL,75.692894
IND,CHN,904.664963
IND,DEU,2089.936657
IND,DNK,189.864592
IND,ESP,725.188747
IND,FIN,87.663395
IND,FRA,1178.79864
IND,GBR,2348.852524
IND,GRC,94.720406
IND,HUN,65.316248
IND,IDN,416.232011
IND,IND,263162.4688
IND,IRL,132.924172
IND,ITA,1317.499999
IND,JPN,1098.601126
IND,KOR,699.008638
IND,MEX,363.324437
IND,MYS,573.587814
IND,NOR,86.510616
IND,NZL,73.617759
IND,PHL,159.271306
IND,POL,135.93052
IND,PRT,146.483248
IND,SGP,978.881057
IND,SWE,200.065081
IND,THA,582.291155
IND,TUR,345.600683
IND,TWN,382.7085571
IND,USA,9064.033826
IRL,ARG,81.293794
IRL,AUS,714.424997
IRL,AUT,744.657294
IRL,BEL,4933.910548
IRL,BRA,249.399579
IRL,CAN,930.870485
IRL,CHE,3143.058364
IRL,CHL,43.396866
IRL,CHN,613.681651
IRL,DEU,13385.56259
IRL,DNK,509.706346
IRL,ESP,2027.745625
IRL,FIN,273.757687
IRL,FRA,4892.430577
IRL,GBR,17414.10527
IRL,GRC,277.119842
IRL,HUN,187.741298
IRL,IDN,75.171632
IRL,IND,85.734156
IRL,IRL,26975.79297
IRL,ITA,3097.587161
IRL,JPN,3529.371201
IRL,KOR,746.078681
IRL,MEX,584.192831
IRL,MYS,1026.421127
IRL,NOR,432.59014
IRL,NZL,65.285573
IRL,PHL,691.712048
IRL,POL,275.408204
IRL,PRT,231.771887
IRL,SGP,529.69223
IRL,SWE,1107.869658
IRL,THA,167.786153
IRL,TUR,376.026148
IRL,TWN,314.9718933
IRL,USA,17904.06867
ITA,ARG,808.699072
ITA,AUS,1724.545695
ITA,AUT,4737.660989
ITA,BEL,7452.662661
ITA,BRA,2265.83295
ITA,CAN,2501.572604
